acceleration_in_x,acceleration_in_y,acceleration_in_z
1.0049,0.0093,0.0210
1.0034,0.0068,0.0176
1.0059,0.0078,0.0195
1.0039,0.0083,0.0186
1.0059,0.0093,0.0181
1.0059,0.0093,0.0190
1.0044,0.0093,0.0166
1.0063,0.0073,0.0166
1.0063,0.0098,0.0215
1.0049,0.0088,0.0146
1.0039,0.0078,0.0151
1.0044,0.0093,0.0210
1.0034,0.0088,0.0186
1.0039,0.0088,0.0195
1.0044,0.0127,0.0186
1.0054,0.0107,0.0186
1.0024,0.0078,0.0205
1.0034,0.0073,0.0132
1.0044,0.0078,0.0171
1.0044,0.0103,0.0161
1.0034,0.0088,0.0176
1.0029,0.0083,0.0176
1.0039,0.0078,0.0186
1.0034,0.0078,0.0181
1.0039,0.0083,0.0186
1.0044,0.0068,0.0142
1.0044,0.0088,0.0181
1.0044,0.0083,0.0181
1.0020,0.0103,0.0200
1.0054,0.0078,0.0190
1.0034,0.0083,0.0142
1.0039,0.0088,0.0181
1.0034,0.0078,0.0205
1.0059,0.0093,0.0190
1.0039,0.0093,0.0186
1.0063,0.0088,0.0181
1.0029,0.0088,0.0176
1.0049,0.0083,0.0190
1.0020,0.0073,0.0200
1.0029,0.0073,0.0195
1.0039,0.0073,0.0171
1.0073,0.0093,0.0215
1.0044,0.0078,0.0195
1.0049,0.0088,0.0176
1.0034,0.0078,0.0181
1.0044,0.0073,0.0186
1.0049,0.0068,0.0200
1.0063,0.0063,0.0166
1.0044,0.0073,0.0205
1.0039,0.0093,0.0186
1.0049,0.0088,0.0220
1.0034,0.0078,0.0205
1.0024,0.0088,0.0166
1.0039,0.0098,0.0166
1.0049,0.0059,0.0190
1.0059,0.0059,0.0171
1.0044,0.0068,0.0161
1.0039,0.0068,0.0151
1.0029,0.0083,0.0161
1.0044,0.0103,0.0186
1.0044,0.0068,0.0200
1.0039,0.0059,0.0166
1.0049,0.0083,0.0156
1.0039,0.0083,0.0220
1.0029,0.0078,0.0210
1.0039,0.0103,0.0181
1.0039,0.0103,0.0234
1.0044,0.0068,0.0200
1.0044,0.0063,0.0190
1.0044,0.0083,0.0151
1.0039,0.0073,0.0205
1.0039,0.0073,0.0205
1.0034,0.0063,0.0200
1.0049,0.0078,0.0181
1.0034,0.0078,0.0176
1.0044,0.0078,0.0181
1.0034,0.0059,0.0186
1.0034,0.0078,0.0166
1.0049,0.0078,0.0186
1.0049,0.0083,0.0205
1.0063,0.0078,0.0210
1.0049,0.0083,0.0156
1.0039,0.0088,0.0166
1.0034,0.0088,0.0176
1.0044,0.0073,0.0181
1.0034,0.0073,0.0195
1.0039,0.0107,0.0205
1.0063,0.0054,0.0181
1.0049,0.0068,0.0190
1.0049,0.0078,0.0176
1.0039,0.0078,0.0146
1.0044,0.0078,0.0151
1.0054,0.0103,0.0166
1.0063,0.0083,0.0205
1.0054,0.0073,0.0200
1.0044,0.0083,0.0190
1.0049,0.0088,0.0190
1.0049,0.0083,0.0171
1.0068,0.0083,0.0171
1.0044,0.0088,0.0171
1.0044,0.0093,0.0190
1.0054,0.0083,0.0195
1.0054,0.0073,0.0166
1.0024,0.0073,0.0205
1.0044,0.0063,0.0200
1.0039,0.0098,0.0186
1.0029,0.0078,0.0200
1.0054,0.0054,0.0210
1.0044,0.0073,0.0190
1.0039,0.0078,0.0210
1.0029,0.0059,0.0176
1.0044,0.0078,0.0161
1.0039,0.0093,0.0190
1.0044,0.0088,0.0171
1.0063,0.0098,0.0181
1.0059,0.0088,0.0176
1.0044,0.0088,0.0171
1.0059,0.0078,0.0156
1.0039,0.0068,0.0190
1.0049,0.0068,0.0195
1.0059,0.0073,0.0195
1.0059,0.0093,0.0176
1.0054,0.0103,0.0200
1.0054,0.0078,0.0156
1.0049,0.0063,0.0195
1.0044,0.0073,0.0161
1.0034,0.0083,0.0181
1.0039,0.0068,0.0166
1.0068,0.0068,0.0151
1.0034,0.0083,0.0171
1.0044,0.0068,0.0190
1.0034,0.0093,0.0186
1.0054,0.0068,0.0215
1.0049,0.0073,0.0186
1.0039,0.0068,0.0190
1.0039,0.0073,0.0166
1.0034,0.0083,0.0176
1.0039,0.0093,0.0205
1.0044,0.0103,0.0171
1.0044,0.0093,0.0195
1.0024,0.0088,0.0200
1.0024,0.0078,0.0171
1.0029,0.0088,0.0176
1.0024,0.0073,0.0156
1.0044,0.0073,0.0176
1.0063,0.0073,0.0195
1.0068,0.0068,0.0200
1.0059,0.0073,0.0186
1.0059,0.0083,0.0166
1.0059,0.0098,0.0190
1.0034,0.0083,0.0190
1.0054,0.0078,0.0190
1.0049,0.0073,0.0205
1.0034,0.0093,0.0200
1.0054,0.0107,0.0220
1.0049,0.0093,0.0200
1.0039,0.0083,0.0171
1.0034,0.0059,0.0186
1.0044,0.0063,0.0171
1.0049,0.0078,0.0186
1.0054,0.0088,0.0166
1.0049,0.0068,0.0171
1.0059,0.0073,0.0181
1.0039,0.0078,0.0166
1.0039,0.0078,0.0176
1.0034,0.0093,0.0176
1.0029,0.0088,0.0181
1.0049,0.0088,0.0161
1.0059,0.0073,0.0166
1.0054,0.0078,0.0166
1.0044,0.0073,0.0142
1.0020,0.0088,0.0215
1.0020,0.0073,0.0195
1.0015,0.0078,0.0200
1.0044,0.0073,0.0181
1.0039,0.0063,0.0161
1.0024,0.0063,0.0181
1.0039,0.0078,0.0161
1.0039,0.0083,0.0210
1.0039,0.0103,0.0166
1.0039,0.0073,0.0151
1.0039,0.0083,0.0156
1.0049,0.0083,0.0171
1.0039,0.0073,0.0171
1.0044,0.0078,0.0186
1.0029,0.0083,0.0161
1.0039,0.0078,0.0176
1.0039,0.0073,0.0156
1.0044,0.0093,0.0186
1.0049,0.0088,0.0161
1.0044,0.0083,0.0156
1.0039,0.0093,0.0186
1.0029,0.0063,0.0166
1.0024,0.0063,0.0156
1.0049,0.0059,0.0142
1.0039,0.0073,0.0186
1.0039,0.0068,0.0210
1.0034,0.0068,0.0186
1.0044,0.0063,0.0161
1.0039,0.0078,0.0200
1.0029,0.0078,0.0210
1.0044,0.0073,0.0171
1.0049,0.0068,0.0176
1.0044,0.0073,0.0171
1.0044,0.0073,0.0186
1.0039,0.0078,0.0161
1.0049,0.0088,0.0166
1.0044,0.0068,0.0166
1.0034,0.0063,0.0171
1.0049,0.0073,0.0181
1.0044,0.0068,0.0186
1.0049,0.0073,0.0176
1.0049,0.0063,0.0171
1.0054,0.0078,0.0200
1.0054,0.0083,0.0181
1.0049,0.0088,0.0176
1.0039,0.0083,0.0200
1.0059,0.0073,0.0176
1.0049,0.0054,0.0176
1.0059,0.0068,0.0156
1.0049,0.0073,0.0161
1.0054,0.0063,0.0156
1.0054,0.0083,0.0200
1.0059,0.0088,0.0195
1.0049,0.0068,0.0200
1.0044,0.0083,0.0190
1.0049,0.0083,0.0186
1.0039,0.0063,0.0195
1.0063,0.0073,0.0210
1.0059,0.0083,0.0176
1.0044,0.0093,0.0156
1.0039,0.0093,0.0225
1.0039,0.0083,0.0195
1.0049,0.0073,0.0220
1.0049,0.0098,0.0181
1.0054,0.0083,0.0161
1.0044,0.0063,0.0186
1.0054,0.0078,0.0200
1.0044,0.0083,0.0190
1.0059,0.0073,0.0190
1.0049,0.0083,0.0176
1.0044,0.0088,0.0176
1.0039,0.0078,0.0190
1.0054,0.0098,0.0161
1.0049,0.0093,0.0171
1.0054,0.0083,0.0186
1.0044,0.0093,0.0186
1.0054,0.0098,0.0151
1.0063,0.0098,0.0161
1.0059,0.0059,0.0171
1.0049,0.0063,0.0161
1.0049,0.0088,0.0200
1.0039,0.0059,0.0220
1.0039,0.0068,0.0195
1.0034,0.0073,0.0200
1.0039,0.0083,0.0176
1.0039,0.0088,0.0186
1.0034,0.0078,0.0186
1.0034,0.0083,0.0166
1.0034,0.0068,0.0122
1.0049,0.0073,0.0176
1.0039,0.0093,0.0181
1.0049,0.0088,0.0181
1.0034,0.0073,0.0166
1.0044,0.0073,0.0195
1.0029,0.0073,0.0190
1.0044,0.0044,0.0176
1.0054,0.0088,0.0200
1.0044,0.0073,0.0190
1.0034,0.0083,0.0176
1.0020,0.0088,0.0166
1.0044,0.0059,0.0181
1.0044,0.0093,0.0181
1.0054,0.0093,0.0181
1.0059,0.0068,0.0186
1.0059,0.0088,0.0200
1.0044,0.0068,0.0181
1.0029,0.0078,0.0156
1.0034,0.0088,0.0176
1.0044,0.0093,0.0210
1.0029,0.0073,0.0205
1.0024,0.0083,0.0190
1.0039,0.0078,0.0151
1.0039,0.0088,0.0186
1.0039,0.0078,0.0156
1.0044,0.0088,0.0186
1.0049,0.0083,0.0210
1.0029,0.0088,0.0200
1.0044,0.0088,0.0186
1.0049,0.0063,0.0166
1.0039,0.0083,0.0151
1.0054,0.0093,0.0156
1.0054,0.0088,0.0171
1.0059,0.0093,0.0186
1.0068,0.0073,0.0171
1.0049,0.0078,0.0181
1.0029,0.0083,0.0166
1.0034,0.0083,0.0195
1.0039,0.0078,0.0171
1.0044,0.0073,0.0181
1.0063,0.0068,0.0166
1.0044,0.0073,0.0186
1.0054,0.0093,0.0161
1.0044,0.0073,0.0161
1.0039,0.0073,0.0176
1.0054,0.0063,0.0205
1.0049,0.0054,0.0190
1.0044,0.0073,0.0181
1.0039,0.0073,0.0176
1.0054,0.0063,0.0181
1.0049,0.0059,0.0176
1.0044,0.0078,0.0205
1.0054,0.0073,0.0181
1.0049,0.0103,0.0171
1.0049,0.0093,0.0181
1.0054,0.0103,0.0200
1.0034,0.0083,0.0200
1.0024,0.0083,0.0200
1.0044,0.0093,0.0166
1.0049,0.0083,0.0146
1.0063,0.0098,0.0176
1.0049,0.0083,0.0171
1.0044,0.0078,0.0200
1.0034,0.0073,0.0166
1.0049,0.0078,0.0166
1.0054,0.0063,0.0171
1.0054,0.0088,0.0190
1.0049,0.0083,0.0186
1.0039,0.0083,0.0186
1.0044,0.0059,0.0181
1.0049,0.0088,0.0146
1.0044,0.0063,0.0181
1.0054,0.0093,0.0166
1.0054,0.0068,0.0161
1.0049,0.0073,0.0181
1.0054,0.0068,0.0186
1.0068,0.0068,0.0195
1.0039,0.0083,0.0215
1.0044,0.0088,0.0210
1.0049,0.0088,0.0166
1.0054,0.0083,0.0161
1.0044,0.0088,0.0215
1.0054,0.0078,0.0195
1.0044,0.0073,0.0195
1.0049,0.0083,0.0190
1.0039,0.0073,0.0186
1.0063,0.0078,0.0181
1.0068,0.0088,0.0166
1.0049,0.0083,0.0190
1.0039,0.0078,0.0195
1.0044,0.0078,0.0186
1.0034,0.0088,0.0181
1.0039,0.0078,0.0166
1.0039,0.0078,0.0181
1.0039,0.0068,0.0151
1.0039,0.0059,0.0195
1.0044,0.0073,0.0200
1.0034,0.0098,0.0229
1.0034,0.0088,0.0195
1.0049,0.0078,0.0200
1.0059,0.0083,0.0190
1.0054,0.0083,0.0195
1.0063,0.0083,0.0161
1.0034,0.0073,0.0156
1.0024,0.0083,0.0176
1.0034,0.0068,0.0176
1.0059,0.0088,0.0176
1.0059,0.0083,0.0176
1.0049,0.0049,0.0181
1.0039,0.0088,0.0195
1.0044,0.0098,0.0205
1.0034,0.0083,0.0210
1.0063,0.0073,0.0181
1.0049,0.0073,0.0176
1.0054,0.0068,0.0176
1.0029,0.0078,0.0156
1.0039,0.0083,0.0171
1.0029,0.0059,0.0200
1.0039,0.0088,0.0186
1.0039,0.0098,0.0171
1.0068,0.0073,0.0186
1.0054,0.0073,0.0171
1.0044,0.0088,0.0181
1.0039,0.0088,0.0181
1.0049,0.0088,0.0176
1.0039,0.0083,0.0181
1.0044,0.0093,0.0171
1.0034,0.0083,0.0210
1.0020,0.0088,0.0176
1.0024,0.0078,0.0171
1.0049,0.0083,0.0176
1.0039,0.0083,0.0171
1.0049,0.0088,0.0171
1.0034,0.0068,0.0215
1.0049,0.0088,0.0171
1.0059,0.0088,0.0186
1.0059,0.0059,0.0176
1.0034,0.0059,0.0176
1.0039,0.0088,0.0200
1.0044,0.0083,0.0205
1.0034,0.0078,0.0156
1.0049,0.0063,0.0142
1.0049,0.0093,0.0156
1.0059,0.0093,0.0171
1.0068,0.0088,0.0161
1.0054,0.0088,0.0171
1.0029,0.0073,0.0200
1.0039,0.0078,0.0205
1.0024,0.0093,0.0195
1.0044,0.0073,0.0161
1.0054,0.0073,0.0171
1.0049,0.0073,0.0151
1.0039,0.0088,0.0181
1.0039,0.0068,0.0215
1.0039,0.0068,0.0176
1.0054,0.0078,0.0166
1.0054,0.0073,0.0161
1.0078,0.0093,0.0181
1.0059,0.0073,0.0156
1.0059,0.0068,0.0146
1.0059,0.0083,0.0166
1.0049,0.0078,0.0210
1.0039,0.0088,0.0161
1.0049,0.0073,0.0166
1.0039,0.0073,0.0195
1.0049,0.0059,0.0200
1.0054,0.0068,0.0195
1.0049,0.0068,0.0205
1.0044,0.0068,0.0195
1.0054,0.0073,0.0176
1.0039,0.0083,0.0195
1.0044,0.0088,0.0176
1.0034,0.0083,0.0156
1.0039,0.0093,0.0161
1.0044,0.0098,0.0171
1.0059,0.0112,0.0181
1.0044,0.0098,0.0200
1.0054,0.0103,0.0195
1.0073,0.0098,0.0190
1.0054,0.0088,0.0186
1.0054,0.0078,0.0166
1.0063,0.0103,0.0205
1.0039,0.0083,0.0161
1.0044,0.0083,0.0176
1.0044,0.0068,0.0195
1.0039,0.0078,0.0239
1.0049,0.0093,0.0215
1.0054,0.0093,0.0181
1.0044,0.0103,0.0195
1.0039,0.0088,0.0186
1.0039,0.0088,0.0181
1.0034,0.0098,0.0195
1.0039,0.0083,0.0210
1.0049,0.0083,0.0181
1.0054,0.0083,0.0186
1.0049,0.0073,0.0166
1.0063,0.0078,0.0190
1.0054,0.0078,0.0181
1.0049,0.0083,0.0166
1.0054,0.0098,0.0181
1.0044,0.0088,0.0161
1.0049,0.0073,0.0156
1.0034,0.0088,0.0195
1.0054,0.0078,0.0171
1.0034,0.0078,0.0190
1.0059,0.0093,0.0195
1.0049,0.0098,0.0171
1.0049,0.0093,0.0181
1.0049,0.0063,0.0210
1.0059,0.0073,0.0205
1.0049,0.0073,0.0176
1.0049,0.0078,0.0142
1.0063,0.0078,0.0161
1.0049,0.0088,0.0176
1.0054,0.0093,0.0205
1.0039,0.0073,0.0190
1.0063,0.0068,0.0205
1.0054,0.0078,0.0176
1.0054,0.0093,0.0215
1.0059,0.0088,0.0195
1.0034,0.0083,0.0156
1.0044,0.0098,0.0205
1.0039,0.0078,0.0200
1.0068,0.0063,0.0156
1.0063,0.0068,0.0156
1.0049,0.0083,0.0166
1.0073,0.0088,0.0161
1.0044,0.0088,0.0190
1.0059,0.0098,0.0186
1.0068,0.0088,0.0186
1.0044,0.0088,0.0195
1.0059,0.0063,0.0161
1.0049,0.0073,0.0186
1.0054,0.0078,0.0186
1.0054,0.0093,0.0190
1.0034,0.0083,0.0181
1.0039,0.0078,0.0200
1.0054,0.0083,0.0205
1.0049,0.0093,0.0215
1.0059,0.0078,0.0220
1.0049,0.0088,0.0190
1.0054,0.0093,0.0186
1.0039,0.0063,0.0181
1.0059,0.0078,0.0151
1.0063,0.0083,0.0181
1.0059,0.0059,0.0137
1.0034,0.0063,0.0171
1.0054,0.0088,0.0215
1.0049,0.0083,0.0181
1.0059,0.0073,0.0156
1.0049,0.0093,0.0186
1.0054,0.0083,0.0151
1.0059,0.0098,0.0181
1.0034,0.0088,0.0200
1.0029,0.0093,0.0156
1.0039,0.0073,0.0176
1.0063,0.0083,0.0151
1.0059,0.0063,0.0171
1.0054,0.0083,0.0220
1.0063,0.0083,0.0215
1.0039,0.0073,0.0161
1.0024,0.0088,0.0171
1.0054,0.0083,0.0195
1.0020,0.0093,0.0195
1.0034,0.0083,0.0215
1.0044,0.0073,0.0181
1.0039,0.0098,0.0210
1.0020,0.0093,0.0234
1.0029,0.0093,0.0195
1.0039,0.0083,0.0190
1.0039,0.0088,0.0171
1.0059,0.0088,0.0176
1.0049,0.0083,0.0176
1.0039,0.0088,0.0205
1.0034,0.0068,0.0200
1.0034,0.0073,0.0195
1.0044,0.0078,0.0171
1.0044,0.0083,0.0176
1.0039,0.0073,0.0181
1.0049,0.0063,0.0176
1.0049,0.0078,0.0181
1.0054,0.0098,0.0195
1.0068,0.0068,0.0161
1.0034,0.0073,0.0200
1.0054,0.0078,0.0181
1.0054,0.0078,0.0210
1.0044,0.0083,0.0186
1.0049,0.0083,0.0171
1.0049,0.0078,0.0161
1.0049,0.0083,0.0195
1.0049,0.0083,0.0190
1.0063,0.0078,0.0200
1.0049,0.0073,0.0195
1.0049,0.0078,0.0195
1.0034,0.0088,0.0142
1.0044,0.0083,0.0181
1.0039,0.0078,0.0151
1.0044,0.0093,0.0176
1.0029,0.0068,0.0186
1.0039,0.0068,0.0166
1.0039,0.0073,0.0176
1.0054,0.0083,0.0146
1.0054,0.0073,0.0151
1.0049,0.0088,0.0146
1.0039,0.0078,0.0210
1.0059,0.0103,0.0176
1.0044,0.0078,0.0190
1.0054,0.0078,0.0146
1.0039,0.0078,0.0166
1.0049,0.0078,0.0195
1.0049,0.0068,0.0215
1.0059,0.0063,0.0195
1.0049,0.0093,0.0146
1.0049,0.0068,0.0156
1.0034,0.0083,0.0151
1.0063,0.0098,0.0166
1.0044,0.0088,0.0195
1.0059,0.0088,0.0171
1.0059,0.0078,0.0195
1.0034,0.0093,0.0181
1.0044,0.0098,0.0171
1.0059,0.0083,0.0166
1.0049,0.0078,0.0176
1.0059,0.0083,0.0200
1.0049,0.0083,0.0186
1.0049,0.0068,0.0220
1.0059,0.0078,0.0190
1.0063,0.0083,0.0186
1.0044,0.0098,0.0186
1.0034,0.0103,0.0181
1.0034,0.0073,0.0171
1.0039,0.0059,0.0181
1.0054,0.0078,0.0205
1.0049,0.0093,0.0190
1.0059,0.0098,0.0190
1.0068,0.0063,0.0166
1.0054,0.0073,0.0190
1.0044,0.0083,0.0186
1.0039,0.0098,0.0210
1.0054,0.0088,0.0200
1.0054,0.0073,0.0151
1.0039,0.0073,0.0200
1.0059,0.0098,0.0205
1.0063,0.0093,0.0161
1.0063,0.0093,0.0171
1.0054,0.0093,0.0186
1.0039,0.0093,0.0195
1.0020,0.0093,0.0186
1.0034,0.0103,0.0225
1.0044,0.0088,0.0210
1.0044,0.0073,0.0181
1.0029,0.0068,0.0166
1.0044,0.0073,0.0161
1.0044,0.0093,0.0161
1.0049,0.0098,0.0190
1.0054,0.0093,0.0215
1.0034,0.0068,0.0181
1.0029,0.0068,0.0186
1.0049,0.0078,0.0186
1.0059,0.0088,0.0186
1.0039,0.0098,0.0205
1.0044,0.0098,0.0190
1.0063,0.0103,0.0176
1.0049,0.0078,0.0176
1.0054,0.0098,0.0176
1.0049,0.0063,0.0171
1.0039,0.0083,0.0181
1.0049,0.0093,0.0205
1.0049,0.0083,0.0181
1.0049,0.0073,0.0171
1.0039,0.0083,0.0156
1.0049,0.0073,0.0146
1.0049,0.0088,0.0181
1.0024,0.0088,0.0186
1.0034,0.0073,0.0186
1.0059,0.0063,0.0181
1.0059,0.0073,0.0166
1.0049,0.0088,0.0190
1.0059,0.0093,0.0210
1.0049,0.0073,0.0229
1.0049,0.0083,0.0151
1.0034,0.0098,0.0181
1.0039,0.0107,0.0181
1.0044,0.0098,0.0171
1.0034,0.0078,0.0176
1.0044,0.0088,0.0171
1.0049,0.0073,0.0151
1.0034,0.0098,0.0176
1.0029,0.0083,0.0137
1.0049,0.0098,0.0146
1.0044,0.0093,0.0186
1.0054,0.0098,0.0190
1.0049,0.0078,0.0225
1.0049,0.0088,0.0171
1.0034,0.0088,0.0200
1.0054,0.0073,0.0190
1.0039,0.0059,0.0151
1.0039,0.0059,0.0181
1.0044,0.0078,0.0176
1.0044,0.0093,0.0166
1.0034,0.0078,0.0200
1.0029,0.0068,0.0166
1.0059,0.0088,0.0176
1.0063,0.0093,0.0181
1.0059,0.0078,0.0190
1.0059,0.0093,0.0220
1.0054,0.0083,0.0181
1.0034,0.0093,0.0156
1.0049,0.0088,0.0200
1.0063,0.0083,0.0181
1.0049,0.0088,0.0190
1.0054,0.0078,0.0190
1.0029,0.0093,0.0161
1.0039,0.0103,0.0161
1.0029,0.0103,0.0176
1.0044,0.0093,0.0186
1.0029,0.0088,0.0171
1.0034,0.0083,0.0205
1.0039,0.0083,0.0181
1.0029,0.0083,0.0186
1.0054,0.0078,0.0156
1.0039,0.0098,0.0171
1.0044,0.0112,0.0186
1.0049,0.0088,0.0146
1.0054,0.0083,0.0171
1.0073,0.0088,0.0200
1.0063,0.0088,0.0171
1.0044,0.0088,0.0156
1.0044,0.0093,0.0161
1.0063,0.0083,0.0190
1.0059,0.0088,0.0171
1.0044,0.0088,0.0181
1.0044,0.0078,0.0186
1.0034,0.0093,0.0181
1.0054,0.0088,0.0166
1.0054,0.0078,0.0166
1.0063,0.0063,0.0181
1.0063,0.0073,0.0166
1.0049,0.0083,0.0186
1.0044,0.0083,0.0186
1.0049,0.0073,0.0195
1.0039,0.0083,0.0181
1.0059,0.0083,0.0186
1.0059,0.0068,0.0176
1.0034,0.0083,0.0190
1.0039,0.0068,0.0200
1.0039,0.0088,0.0186
1.0039,0.0083,0.0151
1.0044,0.0088,0.0166
1.0044,0.0083,0.0181
1.0039,0.0073,0.0181
1.0054,0.0088,0.0171
1.0044,0.0098,0.0200
1.0054,0.0083,0.0142
1.0049,0.0093,0.0137
1.0044,0.0098,0.0161
1.0039,0.0083,0.0156
1.0039,0.0068,0.0186
1.0049,0.0093,0.0195
1.0063,0.0078,0.0195
1.0059,0.0059,0.0171
1.0059,0.0073,0.0151
1.0059,0.0078,0.0176
1.0034,0.0093,0.0181
1.0029,0.0059,0.0205
1.0049,0.0073,0.0205
1.0044,0.0059,0.0190
1.0078,0.0068,0.0176
1.0054,0.0083,0.0195
1.0073,0.0063,0.0186
1.0049,0.0083,0.0220
1.0049,0.0078,0.0205
1.0054,0.0059,0.0181
1.0049,0.0078,0.0181
1.0054,0.0088,0.0181
1.0044,0.0073,0.0166
1.0054,0.0093,0.0176
1.0063,0.0088,0.0151
1.0054,0.0068,0.0171
1.0054,0.0088,0.0195
1.0054,0.0068,0.0200
1.0039,0.0088,0.0195
1.0049,0.0088,0.0176
1.0049,0.0073,0.0181
1.0044,0.0078,0.0195
1.0034,0.0093,0.0161
1.0024,0.0083,0.0176
1.0039,0.0088,0.0176
1.0044,0.0078,0.0171
1.0029,0.0088,0.0181
1.0029,0.0107,0.0171
1.0034,0.0073,0.0220
1.0049,0.0078,0.0220
1.0039,0.0073,0.0146
1.0063,0.0078,0.0181
1.0054,0.0083,0.0186
1.0039,0.0078,0.0190
1.0039,0.0083,0.0186
1.0049,0.0073,0.0200
1.0059,0.0078,0.0181
1.0044,0.0098,0.0156
1.0044,0.0098,0.0186
1.0059,0.0083,0.0176
1.0044,0.0073,0.0166
1.0044,0.0088,0.0171
1.0068,0.0093,0.0190
1.0044,0.0073,0.0195
1.0054,0.0098,0.0181
1.0034,0.0088,0.0132
1.0034,0.0078,0.0146
1.0063,0.0103,0.0171
1.0059,0.0073,0.0181
1.0024,0.0088,0.0186
1.0039,0.0083,0.0190
1.0044,0.0098,0.0186
1.0034,0.0103,0.0195
1.0049,0.0098,0.0205
1.0059,0.0063,0.0142
1.0063,0.0068,0.0171
1.0039,0.0078,0.0171
1.0063,0.0059,0.0181
1.0034,0.0068,0.0166
1.0054,0.0088,0.0200
1.0039,0.0078,0.0200
1.0029,0.0078,0.0176
1.0044,0.0088,0.0171
1.0063,0.0068,0.0190
1.0044,0.0093,0.0225
1.0029,0.0098,0.0200
1.0029,0.0073,0.0171
1.0044,0.0088,0.0195
1.0034,0.0088,0.0146
1.0039,0.0063,0.0186
1.0044,0.0073,0.0205
1.0044,0.0088,0.0210
1.0034,0.0078,0.0166
1.0039,0.0083,0.0195
1.0044,0.0078,0.0200
1.0029,0.0068,0.0190
1.0034,0.0083,0.0186
1.0034,0.0083,0.0161
1.0063,0.0073,0.0195
1.0054,0.0093,0.0176
1.0054,0.0098,0.0186
1.0044,0.0093,0.0186
1.0054,0.0083,0.0195
1.0054,0.0078,0.0205
1.0029,0.0078,0.0166
1.0029,0.0088,0.0195
1.0044,0.0083,0.0205
1.0054,0.0078,0.0156
1.0049,0.0078,0.0176
1.0054,0.0063,0.0210
1.0039,0.0078,0.0205
1.0044,0.0073,0.0176
1.0044,0.0078,0.0166
1.0049,0.0068,0.0161
1.0034,0.0083,0.0156
1.0049,0.0088,0.0195
1.0049,0.0083,0.0190
1.0029,0.0083,0.0171
1.0044,0.0068,0.0146
1.0063,0.0098,0.0195
1.0054,0.0073,0.0195
1.0044,0.0078,0.0181
1.0068,0.0083,0.0190
1.0054,0.0093,0.0186
1.0054,0.0088,0.0186
1.0059,0.0073,0.0151
1.0049,0.0059,0.0176
1.0034,0.0059,0.0190
1.0054,0.0088,0.0171
1.0039,0.0083,0.0205
1.0044,0.0088,0.0151
1.0034,0.0098,0.0166
1.0024,0.0103,0.0151
1.0029,0.0078,0.0176
1.0049,0.0088,0.0220
1.0044,0.0068,0.0225
1.0054,0.0083,0.0215
1.0049,0.0088,0.0181
1.0049,0.0088,0.0181
1.0068,0.0093,0.0195
1.0049,0.0059,0.0220
1.0039,0.0073,0.0171
1.0044,0.0088,0.0161
1.0054,0.0098,0.0142
1.0059,0.0088,0.0195
1.0044,0.0078,0.0200
1.0049,0.0093,0.0190
1.0054,0.0088,0.0190
1.0063,0.0083,0.0186
1.0063,0.0083,0.0176
1.0059,0.0088,0.0127
1.0054,0.0093,0.0161
1.0029,0.0078,0.0195
1.0044,0.0063,0.0176
1.0039,0.0083,0.0190
1.0044,0.0083,0.0210
1.0059,0.0083,0.0151
1.0054,0.0088,0.0195
1.0054,0.0073,0.0205
1.0063,0.0073,0.0166
1.0044,0.0088,0.0171
1.0054,0.0103,0.0190
1.0059,0.0083,0.0190
1.0063,0.0083,0.0171
1.0049,0.0083,0.0176
1.0054,0.0093,0.0186
1.0059,0.0093,0.0181
1.0054,0.0093,0.0151
1.0054,0.0107,0.0146
1.0039,0.0093,0.0190
1.0044,0.0083,0.0176
1.0059,0.0073,0.0161
1.0073,0.0073,0.0181
1.0034,0.0083,0.0200
1.0063,0.0093,0.0156
1.0044,0.0088,0.0176
1.0049,0.0083,0.0181
1.0049,0.0088,0.0181
1.0049,0.0078,0.0195
1.0059,0.0088,0.0195
1.0063,0.0083,0.0181
1.0039,0.0063,0.0215
1.0049,0.0093,0.0176
1.0054,0.0068,0.0142
1.0049,0.0073,0.0205
1.0044,0.0098,0.0156
1.0049,0.0073,0.0200
1.0034,0.0073,0.0176
1.0034,0.0093,0.0166
1.0054,0.0088,0.0166
1.0034,0.0107,0.0190
1.0049,0.0083,0.0190
1.0049,0.0098,0.0171
1.0049,0.0093,0.0200
1.0034,0.0088,0.0200
1.0049,0.0068,0.0161
1.0049,0.0068,0.0171
1.0059,0.0073,0.0181
1.0049,0.0068,0.0195
1.0049,0.0078,0.0190
1.0044,0.0078,0.0200
1.0049,0.0073,0.0181
1.0029,0.0098,0.0171
1.0049,0.0068,0.0176
1.0063,0.0063,0.0161
1.0054,0.0078,0.0156
1.0049,0.0068,0.0181
1.0029,0.0088,0.0190
1.0015,0.0088,0.0205
1.0039,0.0073,0.0190
1.0054,0.0078,0.0161
1.0034,0.0093,0.0195
1.0049,0.0098,0.0181
1.0049,0.0098,0.0146
1.0044,0.0073,0.0137
1.0034,0.0103,0.0171
1.0039,0.0078,0.0195
1.0049,0.0073,0.0186
1.0059,0.0088,0.0186
1.0059,0.0088,0.0171
1.0049,0.0073,0.0195
1.0054,0.0088,0.0176
1.0049,0.0083,0.0186
1.0059,0.0073,0.0195
1.0044,0.0093,0.0200
1.0044,0.0078,0.0200
1.0054,0.0083,0.0176
1.0034,0.0088,0.0161
